modifiers,Sizz,Sizzle,Bang,Kaboom,Snooze,Flame Slash,Kacrackle Slash,Metal Slash,Hatchet Man,Whack,Thwack,Magic Burst,Kamikazee,Psyche Up,Oomph,Acceleratle,Kaclang,Bounce,Heal,Hocus Pocus,Zoom
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': False}",0.2132345927026021,0.24874394057606,0.2132345927026021,0.24874394057606,0.2432855356125147,0.2520270749737321,0.2520270749737321,0.1269241577860524,0.2520270749737321,0.1318006186377923,0.1834477506048167,0.0954362373190172,0.0954362373190172,0.2341098146797291,0.2341098146797291,0.2341098146797291,0.0954362373190172,0.2341098146797291,0.1269241577860522,0.0603584853285912,0.2244730320896937
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': True}",0.2218544032676757,0.2578305142362924,0.2218544032676757,0.2578305142362924,0.2534686033089428,0.2622951845966415,0.2622951845966415,0.1339493999080687,0.2622951845966416,0.1384418175425995,0.191828074932908,0.1010277565189964,0.1010277565189965,0.2441791173825045,0.2441791173825045,0.2441791173825045,0.1010277565189965,0.0679891011213163,0.1339493999080685,0.0641013145505559,0.2343962782251749
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': True, 'bounceModifier': False}",0.2378673608753482,0.2744552070406711,0.2378673608753482,0.2744552070406711,0.2722401681668238,0.2811523397856805,0.2811523397856805,0.1474788538578988,0.2811523397856801,0.1510842559175162,0.2075114201691519,0.111902129141031,0.1119021291410311,0.2628132258408762,0.1636460258979385,0.1636460258979385,0.0923307839736199,0.0,0.123055525868621,0.071453545835402,0.2528337551030676
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': True, 'bounceModifier': True}",0.2378673608753482,0.2744552070406711,0.2378673608753482,0.2744552070406711,0.2722401681668238,0.2811523397856805,0.2811523397856805,0.1474788538578988,0.2811523397856801,0.1510842559175162,0.2075114201691519,0.111902129141031,0.1119021291410311,0.2628132258408762,0.1636460258979385,0.1636460258979385,0.0923307839736199,0.0,0.123055525868621,0.071453545835402,0.2528337551030676
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': False, 'bounceModifier': False}",0.225367362844018,0.2615301630568036,0.2253673628440181,0.2615301630568036,0.2576419467430423,0.2665026997377488,0.2665026997377486,0.1368296568184755,0.2665026997377486,0.1411602288437518,0.1952576754461844,0.1033197219414835,0.1033197219414835,0.2483064219478282,0.2483064219478282,0.0,0.1033197219414835,0.2483064219478282,0.1368296568184756,0.0656350457295483,0.2384642069176938
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': False, 'bounceModifier': True}",0.234915488981325,0.2714386179668022,0.234915488981325,0.2714386179668022,0.2688459952704941,0.2777564399226945,0.2777564399226943,0.1449097157064399,0.2777564399226944,0.1487070962820119,0.2046185356688586,0.1098137459652477,0.1098137459652477,0.2594297116926036,0.2594297116926036,0.0,0.1098137459652477,0.0742342836092274,0.1449097157064399,0.0700251780358005,0.2494712847754392
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': True, 'bounceModifier': False}",0.2470020708455909,0.2838283986802553,0.247002070845591,0.2838283986802554,0.2829413794519225,0.2918722711397818,0.291872271139782,0.1554312481133144,0.291872271139782,0.158446102575822,0.2165340693926302,0.1183349006901232,0.1183349006901232,0.2734665089331883,0.1721916987792338,0.0,0.0978102410264566,0.0,0.1299951803159582,0.0758305977631855,0.2634054197970042
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': True, 'bounceModifier': True}",0.2470020708455909,0.2838283986802553,0.247002070845591,0.2838283986802554,0.2829413794519225,0.2918722711397818,0.291872271139782,0.1554312481133144,0.291872271139782,0.158446102575822,0.2165340693926302,0.1183349006901232,0.1183349006901232,0.2734665089331883,0.1721916987792338,0.0,0.0978102410264566,0.0,0.1299951803159582,0.0758305977631855,0.2634054197970042
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': False}",0.2253673628440179,0.2615301630568037,0.2253673628440179,0.2615301630568037,0.2576419467430423,0.2665026997377488,0.2665026997377486,0.1368296568184755,0.2665026997377486,0.1411602288437519,0.1952576754461845,0.1033197219414835,0.1033197219414836,0.2483064219478282,0.0,0.2483064219478283,0.1033197219414835,0.2483064219478283,0.1368296568184756,0.0656350457295483,0.2384642069176938
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': True}",0.2349154889813249,0.2714386179668022,0.2349154889813249,0.2714386179668023,0.2688459952704939,0.2777564399226943,0.2777564399226943,0.1449097157064399,0.2777564399226944,0.1487070962820119,0.2046185356688585,0.1098137459652477,0.1098137459652477,0.2594297116926036,0.0,0.2594297116926037,0.1098137459652477,0.0742342836092274,0.1449097157064399,0.0700251780358005,0.2494712847754391
